Group;Pclass;Age;Siblings/Spouses Aboard;Parents/Children Aboard;Fare;Sex=male;target
Unprivileged;0.8664597233501009;-0.5301444824557121;0.356046589067866;-0.5126686673973087;-0.533956498951446;0.7854789785047579;0
Privileged;-1.4710361106272014;0.5589045809614471;0.356046589067866;-0.5126686673973087;0.6913243583289923;-1.273108545697309;1
Privileged;0.8664597233501009;-0.2578822166014223;-0.5075322496340078;-0.5126686673973087;-0.5210403353511897;-1.273108545697309;1
Privileged;-1.4710361106272014;0.35470788157072974;0.356046589067866;-0.5126686673973087;0.3433858730067086;-1.273108545697309;1
Unprivileged;0.8664597233501009;0.35470788157072974;-0.5075322496340078;-0.5126686673973087;-0.518648453202994;0.7854789785047579;0
Unprivileged;0.8664597233501009;-0.18981665013784987;-0.5075322496340078;-0.5126686673973087;-0.5108356093541279;0.7854789785047579;0
Unprivileged;-1.4710361106272014;1.6479536443786065;-0.5075322496340078;-0.5126686673973087;0.31970623973957185;0.7854789785047579;0
Unprivileged;0.8664597233501009;-1.8914558117271612;2.083204266471614;0.6684352536566678;-0.2694143333610101;0.7854789785047579;0
Privileged;0.8664597233501009;-0.18981665013784987;-0.5075322496340078;1.8495391747106442;-0.45964933138274155;-1.273108545697309;1
Privileged;-0.3022881936385502;-1.0746690141642918;0.356046589067866;-0.5126686673973087;-0.09727918593110464;-1.273108545697309;1
Privileged;0.8664597233501009;-1.7553246788000163;0.356046589067866;0.6684352536566678;-0.3531302085478569;-1.273108545697309;1
Privileged;-1.4710361106272014;1.9202159102328962;-0.5075322496340078;-0.5126686673973087;-0.16464989527004179;-1.273108545697309;1
Unprivileged;0.8664597233501009;-0.6662756153828571;-0.5075322496340078;-0.5126686673973087;-0.518648453202994;0.7854789785047579;0
Unprivileged;0.8664597233501009;0.6269701474250196;0.356046589067866;5.3928509378725735;-0.07423675006824727;0.7854789785047579;0
Privileged;0.8664597233501009;-1.0746690141642918;-0.5075322496340078;-0.5126686673973087;-0.5223950973999277;-1.273108545697309;0
Privileged;-0.3022881936385502;1.7160192108421788;-0.5075322496340078;-0.5126686673973087;-0.3665247485777524;-1.273108545697309;1
Unprivileged;0.8664597233501009;-1.8914558117271612;2.9467831051734876;0.6684352536566678;-0.11537712301721197;0.7854789785047579;0
Privileged;0.8664597233501009;0.08244561571643995;0.356046589067866;-0.5126686673973087;-0.32825463420662243;-1.273108545697309;0
Privileged;0.8664597233501009;-0.5301444824557121;-0.5075322496340078;-0.5126686673973087;-0.5344348753810851;-1.273108545697309;1
Unprivileged;-0.3022881936385502;0.35470788157072974;-0.5075322496340078;-0.5126686673973087;-0.17517417672210256;0.7854789785047579;0
Privileged;0.8664597233501009;-1.0066034477007193;-0.5075322496340078;-0.5126686673973087;-0.5190464623924538;-1.273108545697309;1
Unprivileged;-1.4710361106272014;-0.12175108367427742;-0.5075322496340078;-0.5126686673973087;0.0066088665407648154;0.7854789785047579;1
Privileged;0.8664597233501009;-1.4830624129457264;2.083204266471614;0.6684352536566678;-0.2694143333610101;-1.273108545697309;0
Privileged;0.8664597233501009;0.5589045809614471;0.356046589067866;5.3928509378725735;-0.0720840561348712;-1.273108545697309;1
Unprivileged;0.8664597233501009;-0.2578822166014223;-0.5075322496340078;-0.5126686673973087;-0.5344348753810851;0.7854789785047579;0
Unprivileged;-1.4710361106272014;-0.7343411818464295;2.083204266471614;1.8495391747106442;4.359834376256799;0.7854789785047579;0
Privileged;0.8664597233501009;-0.39401334952856726;-0.5075322496340078;-0.5126686673973087;-0.5219167209702885;-1.273108545697309;1
Unprivileged;0.8664597233501009;-0.4620789159921397;-0.5075322496340078;-0.5126686673973087;-0.5215990790210081;0.7854789785047579;0
Unprivileged;-1.4710361106272014;0.695035713888592;-0.5075322496340078;-0.5126686673973087;-0.14224657031718232;0.7854789785047579;0
Privileged;-1.4710361106272014;1.2395602455971717;0.356046589067866;-0.5126686673973087;2.130998223327938;-1.273108545697309;1
Privileged;0.8664597233501009;-0.8024067483100019;-0.5075322496340078;-0.5126686673973087;-0.5243889703586635;-1.273108545697309;1
Unprivileged;-0.3022881936385502;2.4647404419414762;-0.5075322496340078;-0.5126686673973087;-0.4717675630983598;0.7854789785047579;0
Unprivileged;-1.4710361106272014;-0.12175108367427742;0.356046589067866;-0.5126686673973087;0.8996572934368312;0.7854789785047579;0
Unprivileged;-1.4710361106272014;0.8311668468157369;0.356046589067866;-0.5126686673973087;0.3223373101025871;0.7854789785047579;0
Unprivileged;0.8664597233501009;-0.5982100489192846;-0.5075322496340078;-0.5126686673973087;-0.518648453202994;0.7854789785047579;0
Privileged;0.8664597233501009;-0.8024067483100019;1.21962542776974;-0.5126686673973087;-0.32825463420662243;-1.273108545697309;0
Privileged;0.8664597233501009;-1.0746690141642918;0.356046589067866;-0.5126686673973087;-0.4575750911838263;-1.273108545697309;1
Privileged;0.8664597233501009;0.695035713888592;0.356046589067866;-0.5126686673973087;-0.49138099671356394;-1.273108545697309;0
Privileged;-0.3022881936385502;-0.18981665013784987;0.356046589067866;-0.5126686673973087;-0.2708494626499275;-1.273108545697309;0
Privileged;-0.3022881936385502;-1.8233902452635888;0.356046589067866;1.8495391747106442;0.12293470618325149;-1.273108545697309;1
Privileged;0.8664597233501009;-0.7343411818464295;-0.5075322496340078;-0.5126686673973087;-0.5219167209702885;-1.273108545697309;1
